07:58:04.271 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.271 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.279 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.279 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.290 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.290 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.298 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.298 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.306 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.306 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.314 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
